dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2005,feature_stability_var,20,4,16,5,0.001,75,20,0.02793246194196399,0.0007088542333804071,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 5, 8, 9, 7, 4]",360.70205950737,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6968657374382019,0.3240068852901459
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.02793246194196399,0.0007088542333804071,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 5, 9, 7, 4, 8]",360.7023694515228,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6968657374382019,0.3240068852901459
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.08534762859344483,0.01303999125957489,"[0, 1, 2, 3]","[0, 2, 3, 1, 9, 8, 4, 7, 6, 5]",351.0531876087189,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.5739111304283142,0.21583238244056702
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.08534762859344483,0.01303999125957489,"[0, 1, 2, 3]","[0, 2, 3, 1, 9, 8, 4, 6, 7, 5]",351.05350494384766,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.5739111304283142,0.21583238244056702
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.060951252141967414,0.012686765752732754,"[0, 1, 2, 3]","[0, 3, 2, 1, 6, 5, 9, 8, 4, 7]",353.1998333930969,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6939753293991089,0.37096652388572693
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2007,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.060951252141967414,0.012686765752732754,"[0, 1, 2, 3]","[0, 2, 3, 1, 4, 5, 7, 6, 9, 8]",353.20013546943665,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6939753293991089,0.37096652388572693
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2008,feature_stability_var,20,4,16,5,0.001,75,20,0.02469696252956055,0.0009720263769850135,"[0, 1, 2, 3]","[0, 3, 2, 1, 8, 9, 4, 5, 6, 7]",364.48417472839355,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7121378779411316,0.4562539756298065
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2008,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.02469696252956055,0.0009720263769850135,"[0, 1, 2, 3]","[0, 3, 2, 1, 8, 9, 4, 6, 5, 7]",364.484477519989,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7121378779411316,0.4562539756298065
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2009,feature_stability_var,20,4,16,5,0.001,75,20,0.03448578546522185,0.001570254797115922,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 8, 9, 4, 7, 5]",360.6510090827942,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7731084227561951,0.31133994460105896
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2009,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.03448578546522185,0.001570254797115922,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 9, 8, 4, 7, 5]",360.65132546424866,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7731084227561951,0.31133994460105896
