function,dimension,screen_mode,seed,true_min_score,endpoint_min_score,nuisance_max_score,support_score_gap,endpoint_score_gap
core_interaction,20,oracle_support,1,0.5824571847915649,0.5824571847915649,0.0,0.5824571847915649,0.5824571847915649
core_interaction,20,oracle_support,2,0.5652475357055664,0.5652475357055664,0.0,0.5652475357055664,0.5652475357055664
core_interaction,20,oracle_support,3,0.6052016019821167,0.6052016019821167,0.0,0.6052016019821167,0.6052016019821167
core_interaction,20,oracle_support,4,0.5911225080490112,0.5911225080490112,0.0,0.5911225080490112,0.5911225080490112
core_interaction,20,oracle_support,5,0.5879654884338379,0.5879654884338379,0.0,0.5879654884338379,0.5879654884338379
core_interaction,20,oracle_support,6,0.5727040767669678,0.5727040767669678,0.0,0.5727040767669678,0.5727040767669678
core_interaction,20,oracle_support,7,0.5774831771850586,0.5774831771850586,0.0,0.5774831771850586,0.5774831771850586
core_interaction,20,oracle_support,8,0.5477604866027832,0.5477604866027832,0.0,0.5477604866027832,0.5477604866027832
core_interaction,20,oracle_support,9,0.5949221849441528,0.5949221849441528,0.0,0.5949221849441528,0.5949221849441528
core_interaction,20,random,0,0.0,4.406508445739746,4.918877601623535,-4.918877601623535,-0.5123691558837891
core_interaction,20,random,1,0.0,0.0,11.573469161987305,-11.573469161987305,-11.573469161987305
core_interaction,20,random,2,0.0,0.0,10.072376251220703,-10.072376251220703,-10.072376251220703
core_interaction,20,random,3,0.0,0.0,2.2269654273986816,-2.2269654273986816,-2.2269654273986816
core_interaction,20,random,4,0.0,3.9417459964752197,4.041811943054199,-4.041811943054199,-0.10006594657897949
core_interaction,20,random,5,0.0,0.0,8.42685317993164,-8.42685317993164,-8.42685317993164
core_interaction,20,random,6,0.0,0.0,8.958219528198242,-8.958219528198242,-8.958219528198242
core_interaction,20,random,7,0.0,0.0,10.924006462097168,-10.924006462097168,-10.924006462097168
core_interaction,20,random,8,0.0,0.0,2.1066431999206543,-2.1066431999206543,-2.1066431999206543
core_interaction,20,random,9,0.0,0.0,11.21352767944336,-11.21352767944336,-11.21352767944336
core_interaction,20,exclude_interaction,0,0.0,0.0,7.860088348388672,-7.860088348388672,-7.860088348388672
core_interaction,20,exclude_interaction,1,0.0,0.0,9.66749095916748,-9.66749095916748,-9.66749095916748
core_interaction,20,exclude_interaction,2,0.0,0.0,9.528074264526367,-9.528074264526367,-9.528074264526367
core_interaction,20,exclude_interaction,3,0.0,0.0,2.4006872177124023,-2.4006872177124023,-2.4006872177124023
core_interaction,20,exclude_interaction,4,0.0,0.0,6.994389533996582,-6.994389533996582,-6.994389533996582
core_interaction,20,exclude_interaction,5,0.0,0.0,10.506230354309082,-10.506230354309082,-10.506230354309082
core_interaction,20,exclude_interaction,6,0.0,0.0,8.919503211975098,-8.919503211975098,-8.919503211975098
core_interaction,20,exclude_interaction,7,0.0,0.0,7.866515159606934,-7.866515159606934,-7.866515159606934
core_interaction,20,exclude_interaction,8,0.0,0.0,1.8378123044967651,-1.8378123044967651,-1.8378123044967651
core_interaction,20,exclude_interaction,9,0.0,0.0,7.809195041656494,-7.809195041656494,-7.809195041656494
core_interaction,50,raw,0,0.554366409778595,0.554366409778595,0.0043777404353022575,0.5499886693432927,0.5499886693432927
core_interaction,50,raw,1,0.571761965751648,0.571761965751648,0.005640279967337847,0.5661216857843101,0.5661216857843101
core_interaction,50,raw,2,0.5640896558761597,0.5640896558761597,0.005878089927136898,0.5582115659490228,0.5582115659490228
core_interaction,50,raw,3,0.5849568843841553,0.5849568843841553,0.010849295184016228,0.574107589200139,0.574107589200139
core_interaction,50,raw,4,0.5838027596473694,0.5838027596473694,0.003887664759531617,0.5799150948878378,0.5799150948878378
core_interaction,50,raw,5,0.5801101922988892,0.5801101922988892,0.007893340662121773,0.5722168516367674,0.5722168516367674
core_interaction,50,raw,6,0.5745590925216675,0.5745590925216675,0.008640123531222343,0.5659189689904451,0.5659189689904451
core_interaction,50,raw,7,0.5815251469612122,0.5815251469612122,0.011951275169849396,0.5695738717913628,0.5695738717913628
core_interaction,50,raw,8,0.5568116903305054,0.5568116903305054,0.009307662025094032,0.5475040283054113,0.5475040283054113
core_interaction,50,raw,9,0.5550129413604736,0.5550129413604736,0.004164167679846287,0.5508487736806273,0.5508487736806273
core_interaction,50,rf,0,0.5604857206344604,0.5604857206344604,0.0,0.5604857206344604,0.5604857206344604
core_interaction,50,rf,1,0.5804240107536316,0.5804240107536316,0.0,0.5804240107536316,0.5804240107536316
core_interaction,50,rf,2,0.5741533041000366,0.5741533041000366,0.0,0.5741533041000366,0.5741533041000366
core_interaction,50,rf,3,0.5870201587677002,0.5870201587677002,0.0,0.5870201587677002,0.5870201587677002
core_interaction,50,rf,4,0.5861495733261108,0.5861495733261108,0.0,0.5861495733261108,0.5861495733261108
core_interaction,50,rf,5,0.5848783850669861,0.5848783850669861,0.0,0.5848783850669861,0.5848783850669861
core_interaction,50,rf,6,0.5862041711807251,0.5862041711807251,0.0,0.5862041711807251,0.5862041711807251
core_interaction,50,rf,7,0.5997425317764282,0.5997425317764282,0.0,0.5997425317764282,0.5997425317764282
core_interaction,50,rf,8,0.5538015365600586,0.5538015365600586,0.0,0.5538015365600586,0.5538015365600586
core_interaction,50,rf,9,0.5495438575744629,0.5495438575744629,0.0,0.5495438575744629,0.5495438575744629
core_interaction,50,oracle_support,0,0.5589581727981567,0.5589581727981567,0.0,0.5589581727981567,0.5589581727981567
core_interaction,50,oracle_support,1,0.5754559636116028,0.5754559636116028,0.0,0.5754559636116028,0.5754559636116028
core_interaction,50,oracle_support,2,0.5725116729736328,0.5725116729736328,0.0,0.5725116729736328,0.5725116729736328
core_interaction,50,oracle_support,3,0.5824155807495117,0.5824155807495117,0.0,0.5824155807495117,0.5824155807495117
core_interaction,50,oracle_support,4,0.5872832536697388,0.5872832536697388,0.0,0.5872832536697388,0.5872832536697388
core_interaction,50,oracle_support,5,0.5846166610717773,0.5846166610717773,0.0,0.5846166610717773,0.5846166610717773
core_interaction,50,oracle_support,6,0.5842205882072449,0.5842205882072449,0.0,0.5842205882072449,0.5842205882072449
core_interaction,50,oracle_support,7,0.5986287593841553,0.5986287593841553,0.0,0.5986287593841553,0.5986287593841553
core_interaction,50,oracle_support,8,0.5543570518493652,0.5543570518493652,0.0,0.5543570518493652,0.5543570518493652
core_interaction,50,oracle_support,9,0.5497333407402039,0.5497333407402039,0.0,0.5497333407402039,0.5497333407402039
core_interaction,50,random,0,0.0,0.0,7.652458190917969,-7.652458190917969,-7.652458190917969
core_interaction,50,random,1,0.0,0.0,8.211715698242188,-8.211715698242188,-8.211715698242188
core_interaction,50,random,2,0.0,0.0,8.382817268371582,-8.382817268371582,-8.382817268371582
core_interaction,50,random,3,0.0,0.0,3.056584358215332,-3.056584358215332,-3.056584358215332
core_interaction,50,random,4,0.0,0.0,11.649069786071777,-11.649069786071777,-11.649069786071777
core_interaction,50,random,5,0.0,0.0,7.759158134460449,-7.759158134460449,-7.759158134460449
core_interaction,50,random,6,0.0,0.0,5.839216232299805,-5.839216232299805,-5.839216232299805
core_interaction,50,random,7,0.0,0.0,7.245860576629639,-7.245860576629639,-7.245860576629639
