registry_version,split,task_id,task_family,adapter_family,adapter,seed,expression_mse,near_equivalence_pass_mse_lt_005,exact_like_pass_mse_lt_1e8,expression,eval_error
claimtransfer_v1_standard_formula_public,public,std_feynman_energy_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,52,3.527072633857824e-16,1.0,1.0,x0*(x1*x1*0.3088696 + x2*x3*0.6177392) - 1.3244826,
claimtransfer_v1_standard_formula_public,public,std_feynman_energy_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,53,0.001168473915484304,1.0,0.0,0.631290916176404*x0*x2*x3 - 1.2956212*cos((0.14989333 - sqrt(x0))*(x1 - 0.20199548)),
claimtransfer_v1_standard_formula_public,public,std_feynman_gravity_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,52,0.0020650598485076836,1.0,0.0,(cos(cos(x2 - 0.08511132)) - 1.2348694)*(-0.8633817)*x0/(x2/x1) - 0.67851657,
claimtransfer_v1_standard_formula_public,public,std_feynman_gravity_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,53,2.1416201360011862e-05,1.0,0.0,x0*x1*(-0.091267735 - 1*(-0.03896012) + 0.63853353/x2)*sin(0.78143245/(x2 - 1*(-0.18044494))) - 0.6900632,
claimtransfer_v1_standard_formula_public,public,std_ideal_gas_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,52,3.4350070793765434e-10,1.0,1.0,x0*(x1*0.92345077/(x2*0.85560864 + 1.2835112) - 0.46717831 - 1*(-0.4671736))*2.6466246 - 1*1.3748144,
claimtransfer_v1_standard_formula_public,public,std_ideal_gas_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,53,5.104232221893325e-10,1.0,1.0,x0*x1*2.7909946/(x2 + 1.5000737) - 1.3407629,
claimtransfer_v1_standard_formula_public,public,std_damped_wave_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,52,0.0068350586839524335,1.0,0.0,x0*4.611967*(-x1*(2.6624308 - exp(cos(x2))) + x2)*x3,
claimtransfer_v1_standard_formula_public,public,std_damped_wave_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,53,4.62981863565364e-14,1.0,1.0,exp(x1*(-x2 - 3.1646013e-7))*x0*sin(x2*x3)*4.649914 - 0.02157137,
claimtransfer_v1_standard_formula_public,public,std_harmonic_period_d6_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,52,7.373945445054783e-06,1.0,0.0,(5.0370135 - sin(x0*0.54940706))*(x0 + x1*(-1.005488))/(x1 + 2.3447742) - 0.09201629,
claimtransfer_v1_standard_formula_public,public,std_harmonic_period_d6_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,53,0.000617566918601336,1.0,0.0,(2.6579437*x0/x1 - 2.780498)*(sin(sin(0.49818927*x1)) + 0.03943961/sqrt(x0)),
claimtransfer_v1_standard_formula_public,public,std_rosenbrock_d6_n2048,standard_srbench_polynomial,symbolic_library,pysr_symbolic_regressor,52,0.003236197294886695,1.0,0.0,0.18055545 + (x0 - (-cos(-x0*x0 + x1) + cos(cos(x0)))/0.783736)*(-1.4120364),
claimtransfer_v1_standard_formula_public,public,std_rosenbrock_d6_n2048,standard_srbench_polynomial,symbolic_library,pysr_symbolic_regressor,53,0.0032237303427584407,1.0,0.0,((x1 - 0.93042487)*x0*(-0.99515224)*x0 - x0 - cos(x1) - 1*(-0.5308973))*1.4271116,
claimtransfer_v1_standard_formula_public,public,std_additive_no_pair_d8_n2048,standard_negative_control,symbolic_library,pysr_symbolic_regressor,52,1.1817672904153727e-09,1.0,1.0,(x0 + x1*x1 + sin(x2) - 1*0.34328142)/0.8333185,
claimtransfer_v1_standard_formula_public,public,std_additive_no_pair_d8_n2048,standard_negative_control,symbolic_library,pysr_symbolic_regressor,53,2.1786137311709145e-16,1.0,1.0,(x0 + x1*x1 + sin(x2) - 0.32387128)*1.223607,
claimtransfer_v1_standard_formula_public,public,std_additive_exp_log_d8_n2048,standard_negative_control,symbolic_library,pysr_symbolic_regressor,52,0.0005219506860975533,1.0,0.0,x0*0.469395 + x2/0.64581627 - cos(x1/(-0.60449946)) - 1*(-0.59023565),
claimtransfer_v1_standard_formula_public,public,std_additive_exp_log_d8_n2048,standard_negative_control,symbolic_library,pysr_symbolic_regressor,53,1.1583435237150263e-05,1.0,0.0,(x2 + (cos(cos(x1*(-1.0506426))) - 1.170865)/0.49585217 + exp((x0 - 0.011719987)*0.30114755))*1.5885924,
claimtransfer_v1_standard_formula_public,public,std_two_products_d8_n2048,standard_pair_product,symbolic_library,pysr_symbolic_regressor,52,9.201599522004221e-11,1.0,1.0,-(-0.40526724)*x4 + (x0*x1 + x2*x3)*1.0001752/0.4936052 + 0.04145028,
claimtransfer_v1_standard_formula_public,public,std_two_products_d8_n2048,standard_pair_product,symbolic_library,pysr_symbolic_regressor,53,4.1944060533214523e-17,1.0,1.0,(x0*x1 - (-x2*x3 + x4*(-0.2)))*2.0471325 + 0.012020169,
