model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,85,0.6266255378723145,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,86,0.6074432134628296,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,87,0.5994860529899597,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,88,0.7626490592956543,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,89,0.4244548082351684,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,90,0.4928693473339081,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,91,0.8632926940917969,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,92,0.5558308362960815,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,93,0.5601904392242432,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,94,0.2708394527435303,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,95,0.3507906198501587,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,96,0.6709927320480347,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,97,0.8332496881484985,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,98,0.5996788740158081,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,99,0.5916761159896851,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,0,0.2538533210754394,1,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,1,0.0894947871565818,1,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,2,0.0289953555911779,1,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,3,0.0423217602074146,1,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,4,0.059354543685913,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,5,0.0362214259803295,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,6,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,7,0.004578033927828,0,core_d100_nonoracle_scores.csv
