function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,6,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.13260531425476,0.08933455869555473,0.002148255705833435,0.0871863029897213,1,1,"(2, 3)",0.08933455869555473
core_interaction_c025,6,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.00369739532471,0.09824453853070736,0.0027643851935863495,0.09548015333712101,1,1,"(2, 3)",0.09824453853070736
core_interaction_c025,6,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.02649164199829,0.08587462641298771,0.0034786835312843323,0.08239594288170338,1,1,"(2, 3)",0.08587462641298771
core_interaction_c025,6,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.156144857406616,0.10058892704546452,0.0023582391440868378,0.09823068790137768,1,1,"(2, 3)",0.10058892704546452
core_interaction_c025,7,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.22306156158447,0.07590172253549099,0.002040361985564232,0.07386136054992676,1,1,"(2, 3)",0.07590172253549099
core_interaction_c025,7,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.13268232345581,0.05757820047438145,0.0019871555268764496,0.055591044947505,1,1,"(2, 3)",0.05757820047438145
core_interaction_c025,7,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.16023802757263,0.0745953859295696,0.0017772081773728132,0.07281817775219679,1,1,"(2, 3)",0.0745953859295696
core_interaction_c025,7,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.26830720901489,0.08820180874317884,0.0017317980527877808,0.08647001069039106,1,1,"(2, 3)",0.08820180874317884
core_interaction_c025,7,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.24522924423218,0.06181591376662254,0.0014217793941497803,0.06039413437247276,1,1,"(2, 3)",0.06181591376662254
core_interaction_c025,7,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.27156138420105,0.09687503427267075,0.0017912797629833221,0.09508375450968742,1,1,"(2, 3)",0.09687503427267075
core_interaction_c025,7,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.25852847099304,0.09954290231689811,0.0016519383061677217,0.09789096401073039,1,1,"(2, 3)",0.09954290231689811
core_interaction_c025,7,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.24145221710205,0.10033116489648819,0.0020219553261995316,0.09830920957028866,1,1,"(2, 3)",0.10033116489648819
core_interaction_c025,7,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.1694610118866,0.08048900403082371,0.001332571730017662,0.07915643230080605,1,1,"(2, 3)",0.08048900403082371
core_interaction_c025,7,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00023956730728968978,0.0004139929369557649,18.03273296356201,42.245861530303955,0.08392171002924442,0.0012894105166196823,0.08263229951262474,1,1,"(2, 3)",0.08392171002924442
