function,interaction_strength,screen_mode,n,d,top_m,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,support_contains_all_true_mean,support_contains_interaction_endpoints_mean,num_runs
core_interaction_c1,1.0,ss_kan_variable,512,50,6,0.0003340668306918,1.0,1.0,1.0,0.8412215366959572,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,50,8,0.0004416429044795,1.0,1.0,1.0,0.8598877966403962,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,50,10,0.0003652889543445,1.0,1.0,1.0,0.8532299019396306,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,50,4,0.0005508582384209,1.0,1.0,1.0,0.8293292975053191,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,50,5,0.000266890360217,1.0,1.0,1.0,0.9386380250565708,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,50,6,0.0002376410397118,1.0,1.0,1.0,0.8991626814007759,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,50,8,0.0003180819316185,1.0,1.0,1.0,0.9064957194030284,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,50,10,0.0002924489381257,1.0,1.0,1.0,0.932143722474575,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,100,4,0.070163723162841,0.95,0.9,0.8,-4.850782936066389,0.8,0.8,10
core_interaction_c1,1.0,ss_kan_variable,512,100,5,0.0004466977901756,1.0,1.0,1.0,0.7645230310969054,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,100,6,0.0004909218623652,1.0,1.0,1.0,0.8925342598930002,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,100,8,0.000365320383571,1.0,1.0,1.0,0.9219667300581932,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,100,10,0.0002911333183874,1.0,1.0,1.0,0.934148633480072,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,100,4,0.0003229006790206,1.0,1.0,1.0,0.8970657631754875,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,100,5,0.0003083311632508,1.0,1.0,1.0,0.8594913937151432,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,100,6,0.0002514142164727,1.0,1.0,1.0,0.8817749135196209,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,100,8,0.0002714740912779,1.0,1.0,1.0,0.8086164273321629,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,1024,100,10,0.000277381070191,1.0,1.0,1.0,0.8648329965770245,1.0,1.0,10
