function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,setting_label
correlated_proxy,100,0.05,correlation,10,perm,0.0007273445759589,0.0001612285422081,1.6000112692515056,0.5220296173006578,0.0,0.25,0.0,0.25,0.0,0.588107638888889,0.0015035163260146,0.1966666666666666,0.0721687836487032,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,correlation,20,grad,2.614112635986506e-07,3.7486148771343193e-07,0.930439829826355,0.3792727550342437,0.0,0.5,0.0,0.3333333333333333,0.1443375672974064,0.6848958333333334,0.1315877454169787,0.391031746031746,0.1424642082857277,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,correlation,20,perm,2.614112635986506e-07,3.7486148771343193e-07,0.930439829826355,0.3792727550342437,0.0,0.5,0.0,0.3333333333333333,0.1443375672974064,0.6866319444444443,0.1317251066631,0.4005555555555555,0.1383868704969005,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,correlation,30,grad,1.1153621637394195e-09,1.2081896735036243e-09,0.8899913827578226,0.4274572097699772,0.0,0.5833333333333334,0.0,0.4166666666666667,0.1443375672974064,0.7035590277777778,0.1688161628697465,0.4089285714285715,0.1275240073436354,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,correlation,30,perm,1.1153621637394195e-09,1.2081896735036243e-09,0.8899913827578226,0.4274572097699772,0.0,0.5833333333333334,0.0,0.4166666666666667,0.1443375672974064,0.7000868055555557,0.1674244923783499,0.3589285714285714,0.1833075507535499,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,10,grad,0.0012585813722883,0.0006325582333568,1.1669819355010986,0.2584126119185201,0.0,0.6666666666666666,0.0,0.5,0.0,0.8098958333333334,0.0721805289142458,0.5202777777777777,0.0835417532557046,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,10,perm,0.0012585813722883,0.0006325582333568,1.1669819355010986,0.2584126119185201,0.0,0.6666666666666666,0.0,0.5,0.0,0.8072916666666666,0.0722744223248849,0.472361111111111,0.1482304964998518,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,20,grad,1.5205074023564673e-06,2.600866872932511e-06,0.3628445131083329,0.5235174199807601,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.2886751345948128,0.9379340277777776,0.1075014173100475,0.82359477124183,0.3055428189299607,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,20,perm,1.5205074023564673e-06,2.600866872932511e-06,0.3628445131083329,0.5235174199807601,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.2886751345948128,0.9370659722222222,0.1090049336360621,0.8227777777777777,0.306957893119151,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,30,grad,2.6644595418900963e-09,1.944304587251596e-09,0.6674273709456126,0.2910203582473881,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.1443375672974064,0.89453125,0.1160754527976845,0.5225869086213913,0.14320769216161,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,mutual_info,30,perm,2.6644595418900963e-09,1.944304587251596e-09,0.6674273709456126,0.2910203582473881,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.2886751345948129,0.89453125,0.1198553386038364,0.5482828282828283,0.2337665244540173,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,rf,10,grad,0.0005987964686937,0.0001435253767059,0.0147071524212757,0.0052228306589905,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896258,proxy_d100
correlated_proxy,100,0.05,rf,10,perm,0.0005987964686937,0.0001435253767059,0.0147071524212757,0.0052228306589905,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896258,proxy_d100
correlated_proxy,100,0.05,rf,20,grad,4.137482401134207e-07,6.601020809465668e-07,0.3101130500435829,0.3212385337548925,1.0,1.0,1.0,0.5833333333333334,0.3818813079129866,0.9583333333333334,0.0494791666666666,0.6721629673932306,0.3056811280841421,0.3333333333333333,0.5773502691896258,proxy_d100
correlated_proxy,100,0.05,rf,20,perm,4.137482401134207e-07,6.601020809465668e-07,0.3101130500435829,0.3212385337548925,1.0,1.0,1.0,0.75,0.4330127018922193,0.9678819444444444,0.055630104062542,0.7980324074074074,0.349818131852742,0.3333333333333333,0.5773502691896258,proxy_d100
correlated_proxy,100,0.05,rf,30,grad,8.809381002450323e-11,2.068987820204998e-11,0.7859992186228434,0.1649794863959839,1.0,1.0,1.0,0.3333333333333333,0.1443375672974064,0.927951388888889,0.0227523305938908,0.4666594026888144,0.0831206192715259,0.0,0.0,proxy_d100
correlated_proxy,100,0.05,rf,30,perm,8.809381002450323e-11,2.068987820204998e-11,0.7859992186228434,0.1649794863959839,1.0,1.0,1.0,0.3333333333333333,0.1443375672974064,0.9348958333333334,0.0341533256474062,0.5068914482707586,0.123937402578391,0.0,0.0,proxy_d100
