function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h4",,,4,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.0318359884374028,0.04345091203372821,1.3595335985883139e-05,0.08134008944034576,0.03180287846498686,0.04343780554306732,8.020945642783772e-06,0.08129581625325955,0.009448653443087096,0.015297731895074228,-9.295376912632491e-07,0.0270982132969948
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h5",,,5,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.044933892251719953,0.07776676697057365,2.0000134099973366e-05,0.1347312182188034,0.04490078227930402,0.07775709814271364,9.760624379850924e-07,0.1346869450317172,-0.04268034783232603,0.07392801399020477,-0.12804506535394466,4.1029620660992805e-06
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h6",,,6,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.007820470792163784,0.012919451049534776,0.0001356376160401851,0.022736266255378723,0.007787360819747846,0.012904948601508433,0.00013006322569708573,0.022686783915560227,0.0006869042817925219,0.0011747064767969313,-6.5054882725235075e-06,0.0020432241799426265
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h7",,,7,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.016105884841332834,0.02561123229422593,0.00013032183051109314,0.04564642161130905,0.016072774868916895,0.025634930082157316,8.604864342487417e-05,0.04564084722096595,-0.010806522727762058,0.018647805570323746,-0.03233910961444053,-2.426317223580554e-06
core_interaction,100,0.0,rf,10,single_edge,x0->h0,0,0,0,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,4.132796705865379e-05,3.099223034259202e-05,5.579889148066286e-06,6.0642330936389044e-05,8.21799464271559e-06,7.206892349545004e-06,5.498804966919124e-09,1.3488494005287066e-05,,,,
core_interaction,100,0.0,rf,10,single_edge,x0->h1,0,0,1,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.04274291738268706,0.07188507072196133,7.669646947761066e-06,0.1257363259792328,0.04270980741027112,0.07187056309877062,2.0952566046616994e-06,0.1256868436394143,,,,
core_interaction,100,0.0,rf,10,single_edge,x0->h2,0,0,2,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.14501989942921986,0.21908148249743142,4.96525208291132e-05,0.39704447984695435,0.1449867894568039,0.2191054649452679,1.7018101061694324e-07,0.39703890545661125,,,,
core_interaction,100,0.0,rf,10,single_edge,x0->h3,0,0,3,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.02453676565589073,0.039102440623305916,5.125071038492024e-05,0.06963291764259338,0.02450365568347479,0.039126386924247206,1.7683705664239824e-06,0.06962734325225028,,,,
core_interaction,100,0.0,rf,10,single_edge,x0->h4,0,0,4,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0835353533426921,0.8876807160489698,0.31940746307373047,2.0572566986083984,1.0835022433702761,0.8876646749730775,0.31940188868338737,2.057212425421312,,,,
core_interaction,100,0.0,rf,10,single_edge,x0->h5,0,0,5,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.0280611052136616,0.04851782797650933,4.764099503518082e-05,0.08408466726541519,0.028027995241245662,0.048541674469640056,1.525040715932846e-06,0.08407909287507209,,,,
