model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,source_file
KAN_tuned_fixed,core_interaction_c05,random,1000,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.2527533303946256,0.0762481844183523,2.346498101949692,0.2309118347108518,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969879518072289,0.0,0.004,0.0,0.0,0.0,2013.0,0.0,2013.0,0.0,2013.0,0.0,0.0,0.0,121.02399063110352,40.56952564078591,-121.02399063110352,40.56952564078591,0.0,c05_n1024_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,rf,1000,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0357329992111772,0.0059590057529787,0.0578792314045131,0.0068351630716865,6.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.748995983935743,0.0,0.502,0.0,0.0,0.0,2004.0,0.0,2004.0,0.0,2004.0,0.0,0.0,0.0,2.160599797964096,1.041260109112922,-2.160599797964096,1.041260109112922,0.0,c05_n1024_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,exclude_interaction,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.296338814496994,0.089845494221325,1.9033235311508176,0.5466552983933547,5.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.4875,0.0428225099814468,0.064,0.0758946638440411,0.0,0.0,207.6,1.2649110640673549,207.6,1.2649110640673549,207.6,1.2649110640673549,0.0,0.0,127.02814559936525,41.82035346390774,-127.02814559936525,41.82035346390774,0.0,c05_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,oracle_support,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0002023586115683,4.133797063559359e-05,0.0002368089524679,4.9178080560335e-05,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.3162277660168379,1.1,0.3162277660168379,1.1,0.3162277660168379,1.1,0.3162277660168379,0.5850931704044342,0.0181617726970075,0.2043152339756488,0.2090482615053168,0.3807779364287853,0.211219980426335,0.9,c05_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,random,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.3338079199194908,0.0935188150469231,1.816128247976303,0.5302920170645,5.0,0.0,0.1,0.0,0.15,0.0,0.0,0.15,0.05,0.0,0.1,0.1290994448735805,0.5268229166666667,0.0682851366064807,0.1005833333333333,0.0981102695949817,0.0,0.0,207.6,1.2649110640673549,207.6,1.2649110640673549,207.6,1.2649110640673549,0.0,0.0,115.16597175598145,38.15061858514531,-115.16597175598145,38.15061858514531,0.0,c05_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,rf,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0312123933850671,0.0112865073599853,0.0496689503954257,0.0180901686161754,5.0,0.1,0.675,0.1,0.35,0.1,0.1,0.3,0.15,0.1,0.65,0.1748014746950252,0.8322916666666667,0.0869547329287124,0.6717500000000001,0.1577711510736709,0.1,0.3162277660168379,181.0,63.24555320336759,181.0,63.24555320336759,181.0,63.24555320336759,0.0595324695110321,0.188258198389392,2.3793698251247406,1.2636973109406735,-2.3198373556137084,1.391138756571077,0.1,c05_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,exclude_interaction,500,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.2714160922914743,0.0427468886940761,2.183831483125686,0.1862516835661049,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939516129032258,0.0,0.008,0.0,0.0,0.0,1013.0,0.0,1013.0,0.0,1013.0,0.0,0.0,0.0,114.73403072357178,30.36911645156597,-114.73403072357178,30.36911645156597,0.0,c05_n1024_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,oracle_support,500,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0001938797031471,7.138528991872876e-05,0.0002132256049662,7.699113646944857e-05,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.875,0.3535533905932738,1.125,0.3535533905932738,1.125,0.3535533905932738,1.125,0.3535533905932738,0.5856553986668587,0.0210739364002283,0.1740258790086954,0.1983623187881524,0.4116295196581632,0.1956156758055033,0.875,c05_n1024_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,random,500,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.2493715994060039,0.0634758287600229,2.3647584319114685,0.2396396704714299,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939516129032258,0.0,0.008,0.0,0.0,0.0,1013.0,0.0,1013.0,0.0,1013.0,0.0,0.0,0.0,124.61124038696288,24.5061391248592,-124.61124038696288,24.5061391248592,0.0,c05_n1024_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,rf,500,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.03745968057774,0.0037068410222129,0.0528572164475917,0.0042914261877463,6.0,0.0,0.5625,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.5625,0.1157275124715689,0.7794858870967741,0.0583305549787587,0.5581875000000001,0.1017166714457369,0.0,0.0,1004.0,0.0,1004.0,0.0,1004.0,0.0,0.0,0.0,1.830738142132759,0.5477504770334485,-1.830738142132759,0.5477504770334485,0.0,c05_n1024_d500_top6_screen_summary.csv
