model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0021465763973537296,0.002099115818414855,3.901920807361603,1.2305575475857815,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.5059895833333333,0.056547673437038724,0.08800000000000001,0.10119288512538815,0.0,0.0,0.0,0.0,105.33596324920654,43.940449818642676,-105.33596324920654,43.940449818642676,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00183129948563868,0.000574538375533878,0.0026473513920790897,0.0006444858036012861,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00628809733316298,0.01221749121077151,0.4018336579203606,0.20682723245816953,-0.39554556058719753,0.21220674315459914,0.0,2.0,0.0,10,10.0,0,0.0,0,
KAN_tuned_fixed,core_interaction_c01,random,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00774768617120568,0.008359768731656824,3.7452210664749144,1.203379850809411,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.5057291666666667,0.05600203080842881,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,87.74495697021484,28.124789519059807,-87.74495697021484,28.124789519059807,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,raw,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,7.050840049485794e-05,4.9235305925272845e-05,0.5321888103149831,0.7267656924467517,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.425,0.120761472884912,0.68046875,0.09313754744473392,0.4585516805288763,0.09893185312759184,0.0,0.0,0.03162368366029107,0.041712910954478266,2.094826352596283,1.403527160300337,-2.063202668935992,1.3649393376169594,0.0,2.0,0.0,10,0.0,0,10.0,0,
KAN_tuned_fixed,core_interaction_c01,rf,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00179714281111952,0.00018887910404037777,0.00265466894488776,0.00021659662091179572,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.5259370654821396,0.2862008782966253,-0.5259370654821396,0.2862008782966253,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00607821871235496,0.0073339813811767,3.108531194925308,1.387637816416249,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,86.4261260986328,26.151299496013095,-86.4261260986328,26.151299496013095,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0015511802979744599,0.0009640730415938791,0.0023561545938718498,0.0014072751573056504,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02231063971994441,0.033686639487645574,0.4746079329401255,0.31155063027289387,-0.45229729322018103,0.3125182706443063,0.0,2.0,0.0,10,10.0,0,0.0,0,
KAN_tuned_fixed,core_interaction_c01,random,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.008473474998027029,0.012062769027244213,3.242816871404648,1.467118416654014,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,89.89729728698731,45.53673846064646,-89.89729728698731,45.53673846064646,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,raw,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00040006285853447,0.00017453733982809746,0.00879315421916539,0.003504040633130464,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.05,0.0,0.6,0.1290994448735806,0.7902173913043479,0.10416902958882661,0.669115627907898,0.1297585027695511,0.0,0.0,0.00192967127077278,0.0010435484052599806,0.8849011614918709,0.4154954897388704,-0.8829714902210981,0.4161197577948127,0.0,2.0,0.0,10,0.0,0,10.0,0,
KAN_tuned_fixed,core_interaction_c01,rf,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0016915848595089801,0.00015314162997640034,0.00243651370983567,0.00023056125712636624,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7391304347826088,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.26949178352951997,0.17487250929065903,-0.26949178352951997,0.17487250929065903,0.0,2.0,0.0,10,0.0,10,0.0,0,
