model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,interaction_strength,test_mse,variable_f1,explain_interaction_endpoint_recall,interaction_f1,true_interaction_mean_score_margin,true_interaction_beats_all_false,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003088453842792,0.0001494688112232,0.000548793238704,0.0002997071163274,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5163977794943222,0.2775141075253486,0.0207491078941762,0.2482501085847615,0.1948619401888903,0.029263998940587,0.1990459681724946,0.6,1.4,0.5163977794943222,10,4.0,0,0.0,0,0.25,0.000548793238704,1.0,1.0,0.6,0.029263998940587,0.6,6.0
KAN_tuned_fixed,core_interaction_c025,random,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0040091093484079,0.0051798267600923,3.55586861371994,1.1967176426726611,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.5059895833333333,0.0565476734370387,0.088,0.1011928851253881,0.0,0.0,0.0,0.0,88.76783752441406,26.134641525304083,-88.76783752441406,26.134641525304083,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,3.55586861371994,0.05,0.0,0.0,-88.76783752441406,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,raw,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,4.928642592858523e-05,1.668025802007969e-05,0.3543893590569496,0.580330028280272,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,0.0,0.0,0.5,0.1178511301977579,0.7018229166666667,0.0999904298323758,0.5287522704118943,0.0964167570467312,0.0,0.0,0.0080254686065017,0.0105899057029062,2.50027529001236,2.214007300171035,-2.4922498214058577,2.205640286842565,0.0,2.0,0.0,10,0.0,0,10.0,0,0.25,0.3543893590569496,0.5,0.05,0.0,-2.4922498214058577,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,rf,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0067800074350088,0.0015975974827525,0.0187500542029738,0.0034185498062719,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.7535436570644378,0.7136434807060521,-1.7535436570644378,0.7136434807060521,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,0.0187500542029738,0.5,0.0,0.0,-1.7535436570644378,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0066335871029877,0.0111959960639487,3.159421643614769,1.416848143444189,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,87.46573162078857,35.943862191995294,-87.46573162078857,35.943862191995294,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,3.159421643614769,0.05,0.0,0.0,-87.46573162078857,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,oracle_support,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0004510008089709,0.000596781259461,0.0007596529554575,0.0010031928139572,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5270462766947299,0.2678242951631546,0.0146038058882072,0.4136222511529922,0.3410411830311635,-0.1457979559898376,0.3347823692690661,0.5,1.5,0.5270462766947299,10,5.0,0,0.0,0,0.25,0.0007596529554575,1.0,1.0,0.5,-0.1457979559898376,0.5,5.0
KAN_tuned_fixed,core_interaction_c025,random,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0102029690722701,0.01986354132182,3.2373792707920077,1.4203898726296451,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,105.28425598144533,39.48443817293983,-105.28425598144533,39.48443817293983,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,3.2373792707920077,0.05,0.0,0.0,-105.28425598144533,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,raw,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002743525401455,0.0001398826445122,0.0332502180710434,0.0102080769712337,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15,0.0,0.0,0.575,0.1207614728849119,0.8217391304347826,0.0682083862362324,0.6721387778570274,0.0997666430644303,0.0,0.0,0.0268615117529406,0.0561195463176438,0.9709740102291108,0.3133167779742215,-0.94411249847617,0.3167543155185613,0.0,2.0,0.0,10,0.0,0,10.0,0,0.25,0.0332502180710434,0.575,0.15,0.0,-0.94411249847617,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,rf,50,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0069667432922869,0.0013368097435655,0.0185435025952755,0.0026318970224571,4.0,0.0,0.55,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.55,0.1054092553389459,0.7652173913043478,0.0550110498533261,0.57975,0.0850853329833578,0.0,0.0,0.0,0.0,1.7570198774337769,1.1921335884806636,-1.7570198774337769,1.1921335884806636,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,0.0185435025952755,0.55,0.1,0.0,-1.7570198774337769,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.1278108336031436,0.0383722341999924,2.6367201268672944,0.8581863568198906,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,117.5537452697754,38.69310236558825,-117.5537452697754,38.69310236558825,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,2.6367201268672944,0.05,0.0,0.0,-117.5537452697754,0.0,0.0
