model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,function_tag,c,n,d,test_mse,variable_f1,interaction_f1
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4417994856834412,0.1235107772540499,1.6057069554924963,0.4976166944840034,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5052083333333333,0.0549315267595699,0.06925,0.0758658355256172,0.0,0.0,0.0,0.0,130.4224814414978,66.44311175016522,core_interaction_c025,0.25,1024,100,1.6057069554924963,0.05,0.0
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0013126753940014,0.0031350614384436,0.0015319087484385,0.0037588336331311,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5270462766947299,0.2532780193723738,0.0885206372349466,0.3174208618700504,0.1901212936709285,core_interaction_c025,0.25,1024,100,0.0015319087484385,1.0,0.5
KAN_tuned_fixed,core_interaction_c025,random,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4693070873618126,0.1500153214526664,1.4884845569729803,0.4650328835056688,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,116.99610977172853,77.3757095757092,core_interaction_c025,0.25,1024,100,1.4884845569729803,0.05,0.0
KAN_tuned_fixed,core_interaction_c025,raw,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0006449066771892,0.0008566897106737,0.0058061656323843,0.0104615527049113,100.0,1.0,1.0,1.0,1.0,1.0,0.9,0.2108185106778919,0.9653645833333334,0.0761126832575362,0.9198063840920984,0.1695966847877676,0.6,0.5163977794943222,0.2130817073397338,0.1105888504246503,0.2830129966139793,0.2064872615932793,core_interaction_c025,0.25,1024,100,0.0058061656323843,0.9,0.6
KAN_tuned_fixed,core_interaction_c025,rf,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.011112964618951,0.000513233114205,0.0125244164839386,0.0005518233347137,4.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.3761190935969353,0.3052311531613635,core_interaction_c025,0.25,1024,100,0.0125244164839386,0.5,0.0
KAN_tuned_fixed,core_interaction_c1,exclude_interaction,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0018166481226217,0.0015931734225425,3.572030985355377,0.9421976655170547,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5052083333333333,0.0549315267595699,0.06925,0.0758658355256172,0.0,0.0,0.0,0.0,95.62498168945312,36.75372648813918,core_interaction_c1,1.0,256,100,3.572030985355377,0.05,0.0
KAN_tuned_fixed,core_interaction_c1,oracle_support,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003488021378871,0.0001763430343664,0.0006866525334771,0.0003144498597537,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1298264026641849,0.0374950058172395,0.2930540710687637,0.2057968896544494,core_interaction_c1,1.0,256,100,0.0006866525334771,1.0,1.0
KAN_tuned_fixed,core_interaction_c1,random,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0026355563837569,0.0014258783629975,3.79217187166214,1.0301576620058477,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5059895833333333,0.0565476734370387,0.088,0.1011928851253881,0.0,0.0,0.0,0.0,92.74503326416016,20.34296230272505,core_interaction_c1,1.0,256,100,3.79217187166214,0.05,0.0
KAN_tuned_fixed,core_interaction_c1,raw,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,4.796082739630947e-05,2.7718025093946687e-05,0.68612901866436,0.3668722224748603,100.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1178511301977579,0.796875,0.1052819347427611,0.5647800108981219,0.1113063105207931,0.0,0.0,0.0336912344209849,0.0347364528693019,2.52384095788002,1.62351043781363,core_interaction_c1,1.0,256,100,0.68612901866436,0.5,0.0
KAN_tuned_fixed,core_interaction_c1,rf,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.006059778825147,0.0055769934320055,0.6635143339633942,0.190895473785135,4.0,0.0,0.65,0.0,0.3,0.0,0.65,0.1290994448735805,0.82109375,0.0668041930012353,0.6348333333333334,0.1396163172748182,0.0,0.0,0.0,0.0,34.96633338928223,12.049557045058334,core_interaction_c1,1.0,256,100,0.6635143339633942,0.65,0.0
