nohup: 忽略输入
/home/perzival/anaconda3/envs/prism/lib/python3.10/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Using device=cpu
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=35/47 params={'hidden': 512, 'depth': 3, 'activation': 'softplus', 'lr': 1.4097493658074689e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=36/47 params={'hidden': 512, 'depth': 2, 'activation': 'gelu', 'lr': 3.426184752886528e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=37/47 params={'hidden': 256, 'depth': 3, 'activation': 'silu', 'lr': 0.00034020866085467246, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=38/47 params={'hidden': 64, 'depth': 2, 'activation': 'softplus', 'lr': 0.00014273325534046676, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=39/47 params={'hidden': 64, 'depth': 3, 'activation': 'tanh', 'lr': 3.298109682269115e-05, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=40/47 params={'hidden': 512, 'depth': 4, 'activation': 'gelu', 'lr': 8.1180619191179e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=41/47 params={'hidden': 512, 'depth': 2, 'activation': 'silu', 'lr': 0.005062036212009895, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=42/47 params={'hidden': 256, 'depth': 2, 'activation': 'silu', 'lr': 0.00042253626053776155, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=43/47 params={'hidden': 64, 'depth': 2, 'activation': 'tanh', 'lr': 0.0006135010059432599, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=44/47 params={'hidden': 128, 'depth': 2, 'activation': 'gelu', 'lr': 3.5616245556759916e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=45/47 params={'hidden': 128, 'depth': 4, 'activation': 'tanh', 'lr': 2.6684502188233107e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=46/47 params={'hidden': 64, 'depth': 4, 'activation': 'tanh', 'lr': 1.891861949451268e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=47/47 params={'hidden': 64, 'depth': 2, 'activation': 'softplus', 'lr': 9.895948057620257e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[BEST] function=core_interaction_c5 screen=rf: {'hidden': 256, 'depth': 3, 'activation': 'silu', 'lr': 0.009512147812778116, 'weight_decay': 0.0, 'dropout': 0.0, 'best_val_mse': 0.1596517115831375, 'best_epoch': 45, 'screen_mode': 'rf', 'function': 'core_interaction_c5'}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=0/47 params={'hidden': 256, 'depth': 4, 'activation': 'silu', 'lr': 1.7914823299257556e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=1/47 params={'hidden': 64, 'depth': 4, 'activation': 'softplus', 'lr': 1.5540752200368223e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=2/47 params={'hidden': 128, 'depth': 3, 'activation': 'silu', 'lr': 3.0544560507230864e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=3/47 params={'hidden': 256, 'depth': 3, 'activation': 'tanh', 'lr': 0.0002794146184773966, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=4/47 params={'hidden': 128, 'depth': 4, 'activation': 'gelu', 'lr': 0.0010504201033051015, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=5/47 params={'hidden': 64, 'depth': 3, 'activation': 'softplus', 'lr': 0.0006176135560419409, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=6/47 params={'hidden': 512, 'depth': 3, 'activation': 'tanh', 'lr': 0.0007838286442917744, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=7/47 params={'hidden': 64, 'depth': 4, 'activation': 'softplus', 'lr': 0.005355962884668678, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=8/47 params={'hidden': 128, 'depth': 4, 'activation': 'softplus', 'lr': 0.00010321750112646507, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=9/47 params={'hidden': 256, 'depth': 3, 'activation': 'silu', 'lr': 4.4951895131291617e-05, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=10/47 params={'hidden': 64, 'depth': 4, 'activation': 'silu', 'lr': 2.486257884394153e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=11/47 params={'hidden': 128, 'depth': 2, 'activation': 'gelu', 'lr': 0.00030796505040053764, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=12/47 params={'hidden': 64, 'depth': 4, 'activation': 'silu', 'lr': 6.097646856272215e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=13/47 params={'hidden': 128, 'depth': 2, 'activation': 'softplus', 'lr': 0.0017461211492742562, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=14/47 params={'hidden': 256, 'depth': 3, 'activation': 'gelu', 'lr': 9.730646156903585e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=15/47 params={'hidden': 64, 'depth': 3, 'activation': 'silu', 'lr': 0.0076594071978269875, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=16/47 params={'hidden': 512, 'depth': 2, 'activation': 'softplus', 'lr': 1.6338529241379452e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=17/47 params={'hidden': 64, 'depth': 4, 'activation': 'softplus', 'lr': 0.0007737471289925335, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=18/47 params={'hidden': 256, 'depth': 3, 'activation': 'tanh', 'lr': 3.087001337167606e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=19/47 params={'hidden': 128, 'depth': 3, 'activation': 'softplus', 'lr': 0.002296980649282168, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=20/47 params={'hidden': 256, 'depth': 3, 'activation': 'softplus', 'lr': 0.00025547236643068795, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=21/47 params={'hidden': 512, 'depth': 2, 'activation': 'softplus', 'lr': 0.009356786895001306, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=22/47 params={'hidden': 512, 'depth': 3, 'activation': 'gelu', 'lr': 0.0022038555719775194, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=23/47 params={'hidden': 128, 'depth': 2, 'activation': 'silu', 'lr': 0.00046979522905081234, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=24/47 params={'hidden': 128, 'depth': 2, 'activation': 'gelu', 'lr': 0.0025148479866773984, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=25/47 params={'hidden': 128, 'depth': 3, 'activation': 'softplus', 'lr': 2.0265341413993875e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=26/47 params={'hidden': 128, 'depth': 3, 'activation': 'softplus', 'lr': 0.0005088790583197486, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=27/47 params={'hidden': 128, 'depth': 3, 'activation': 'silu', 'lr': 6.317339979503016e-05, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=correlated_proxy screen=rf seed=4 trial=28/47 params={'hidden': 64, 'depth': 2, 'activation': 'gelu', 'lr': 0.003965060280588468, 'weight_decay': 0.0, 'dropout': 0.0}
